date,累计确诊,治愈,死亡,新增确诊
2020.4.10,15,1,0,1
2020.4.11,15,4,0,0
2020.4.22,15,15,0,0
2020.4.29,17,15,0,2
2020.5.3,18,15,0,1
2020.5.16,18,18,0,0
2020.5.18,18,18,0,0
2020.5.19,18,18,0,0
2020.5.20,18,18,0,0
2020.5.21,18,18,0,0
2020.5.22,18,18,0,0
2020.5.23,18,18,0,0
2020.5.24,18,18,0,0
2020.5.25,18,18,0,0
2020.5.26,18,18,0,0
2020.5.27,18,18,0,0
2020.5.28,18,18,0,0
2020.5.29,18,18,0,0
2020.5.30,18,18,0,0
2020.5.31,18,18,0,0
2020.6.1,18,18,0,0
2020.6.2,18,18,0,0
2020.6.3,18,18,0,0
2020.6.4,18,18,0,0
2020.6.5,19,18,0,1
2020.6.6,19,18,0,0
2020.6.7,19,18,0,0
2020.6.8,19,18,0,0
2020.6.9,19,18,0,0
2020.6.10,19,18,0,0
2020.6.11,19,18,0,0
2020.6.12,19,18,0,0
2020.6.13,19,18,0,0
2020.6.14,19,18,0,0
2020.6.15,19,18,0,0
2020.6.16,19,18,0,0
2020.6.17,19,18,0,0
2020.6.18,19,18,0,0
2020.6.19,19,18,0,0
2020.6.20,19,18,0,0
2020.6.21,19,18,0,0
2020.6.22,19,18,0,0
2020.6.23,19,18,0,0
2020.6.24,19,18,0,0
2020.6.25,19,19,0,0
2020.6.26,19,19,0,0
2020.6.27,19,19,0,0
2020.6.28,19,19,0,0
2020.6.29,19,19,0,0
2020.6.30,19,19,0,0
2020.7.1,19,19,0,0
2020.7.2,19,19,0,0
2020.7.3,22,19,0,3
2020.7.4,22,19,0,0
2020.7.5,22,19,0,0
2020.7.6,22,19,0,0
2020.7.7,22,19,0,0
2020.7.8,22,19,0,0
2020.7.9,22,19,0,0
2020.7.10,22,19,0,0
2020.7.11,22,19,0,0
2020.7.12,22,19,0,0
2020.7.13,22,19,0,0
2020.7.14,22,19,0,0
2020.7.15,22,19,0,0
2020.7.16,22,19,0,0
2020.7.17,23,19,0,1
2020.7.18,23,19,0,0
2020.7.19,23,19,0,0
2020.7.20,23,19,0,0
2020.7.21,23,19,0,0
2020.7.22,23,19,0,0
2020.7.23,23,19,0,0
2020.7.24,24,22,0,1
